"first_of_month","pay_tag","system","sub_system","hero_id","hero_name","revenue","pearl_revenue","paymentdetail_last_pearl","total_revenue"
2025-03-01,超R,武将,武将,1292,S30明智光秀UR,1179.9881908072991,0.0,,1179.9881908072991
2025-04-01,小R,武将,武将,1060,光·武田信玄UR,0.0,0.0,,0.0
2025-04-01,大R,武将,武将,1161,刚·本多忠胜UR,64.33186312036776,0.0,,64.33186312036776
2025-03-01,非R,武将,武将,1176,S5杂贺孙市SSR,0.0,0.0,,0.0
2025-04-01,中R,武将,武将,317966,武将,0.0,0.0,,0.0
2025-04-01,中R,武将,武将碎片,348086,武将碎片,7214.123076923078,2775.376389809231,,9989.499466732308
2025-04-01,大R,武将,神武锻造,,神武锻造,4797.031139999999,2543.45448499632,5934.727131658079,7340.4856249963195
2025-04-01,超R,神武,神武升级,,,3126.1199999999994,5436.333191012174,,8562.453191012173
2025-04-01,大R,武将,武将升级,,武将升级,456.7608666666667,124.98671389602107,,581.7475805626877
2025-03-01,超R,武将,倍率转盘,,倍率转盘,3337.1330999999996,2737.3253455021595,1173.13943378664,6074.4584455021595
2025-03-01,中R,武将,深海秘宝,,深海秘宝,12.504480000000001,0.0,,12.504480000000001
2025-03-01,超R,武将,武将,1042,浅井长政SSR,89.18226277129445,0.0,,89.18226277129445
2025-04-01,小R,武将,武将,1161,刚·本多忠胜UR,12.061518151223764,0.0,,12.061518151223764
2025-03-01,小R,武将,武将,1111,S3柴田胜家SSR+,0.0,0.0,,0.0
2025-04-01,微R,装备,装备,,,3227.0975658179436,249.23684255815385,,3476.3344083760976
2025-03-01,非R,武将,武将,1313,UR-佐竹义重,0.0,0.0,,0.0
2025-04-01,,武将,武将,1026,猿飞佐助R,21.29997974963002,0.0,,21.29997974963002
2025-04-01,中R,武将,武将,1080,姬若子R,749.2372078208451,0.0,,749.2372078208451
2025-03-01,微R,神武,神武,,,200.9646392901995,0.0,,200.9646392901995
2025-03-01,微R,神威,神威,,,2165.1937038555425,0.0,,2165.1937038555425
2025-03-01,微R,武将,武将,1077,直江兼续SR,15.462622175484803,0.0,,15.462622175484803
2025-03-01,微R,武将,武将,1061,茶茶SSR,0.30750804452060965,0.0,,0.30750804452060965
2025-03-01,小R,武将,武将,1071,石田三成SR,39.81731833415621,0.0,,39.81731833415621
2025-04-01,大R,铭刻,铭刻,,,6477.207329796022,32.0580610846776,,6509.2653908807
2025-04-01,中R,武将,武将,1073,浓姬SR,194.4820972521785,0.0,,194.4820972521785
2025-03-01,微R,武将,武将,1064,望月千代女SSR,0.552463140042579,0.0,,0.552463140042579
2025-03-01,小R,武将,武将,1119,援·宁宁SSR,137.17790323612252,0.0,,137.17790323612252
2025-03-01,微R,武将,武将,1104,TW鹤姬UR,0.0,0.0,,0.0
2025-04-01,微R,武将,武将,1134,谋·德川家康SSR+,45.24405463611579,0.0,,45.24405463611579
2025-04-01,超R,武将,武将,1135,谋·明智光秀SSR,76.86552336479096,0.0,,76.86552336479096
2025-04-01,中R,武将,武将,1166,柔·阿松UR,1580.9867085833184,0.0,,1580.9867085833184
2025-04-01,超R,武将,武将,348052,武将,1814.5553410772263,0.0,,1814.5553410772263
