group_col,month,count,mean,std,min,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,max
战鼓解锁,2025-03-01,13.0,0.012892381997709292,0.007629461400609304,0.006535947712418301,0.006535947712418301,0.007270547198604753,0.007851239669421488,0.008478198917070391,0.008931345138241691,0.00909090909090909,0.009724310776942358,0.013588516746411473,0.01951762523191095,0.020576478013885968,0.03205128205128205,0.03205128205128205
战鼓解锁,2025-04-01,10.0,0.010558347923565949,0.003421930666358082,0.005649717514124294,0.005649717514124294,0.006371423364315655,0.0076395289298515105,0.008802970729576235,0.009985514244326412,0.010757663389242337,0.01113886113886114,0.011850649350649351,0.01312933641700765,0.014009439392195233,0.01680672268907563,0.01680672268907563
新手礼包,2024-06-01,1.0,0.005747126436781609,,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609
新手礼包,2024-07-01,2.0,0.0056696926262143656,0.0007657789635401372,0.005128205128205128,0.005128205128205128,0.005236502627806975,0.005344800127408823,0.0054530976270106704,0.005561395126612518,0.0056696926262143656,0.005777990125816213,0.00588628762541806,0.005994585125019907,0.006102882624621755,0.006211180124223602,0.006211180124223602
新手礼包,2024-10-01,11.0,0.006828088876298361,0.0012356942660209204,0.005076142131979695,0.005076142131979695,0.005952380952380952,0.006024096385542169,0.006329113924050633,0.006493506493506494,0.006493506493506494,0.006578947368421052,0.00684931506849315,0.007194244604316547,0.008771929824561403,0.009345794392523364,0.009345794392523364
新手礼包,2024-11-01,4.0,0.008846682508619886,0.0015732850647075121,0.00684931506849315,0.00684931506849315,0.007294520547945205,0.00773972602739726,0.008184931506849315,0.008666666666666666,0.009166666666666667,0.009666666666666667,0.010020408163265306,0.010081632653061225,0.010142857142857143,0.01020408163265306,0.01020408163265306
新手礼包,2025-02-01,6.0,0.007802263304757289,0.001474686477305945,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006854460093896714,0.007042253521126761,0.0070672260513435226,0.007092198581560284,0.008218996487041823,0.009345794392523364,0.009672897196261682,0.01,0.01
新手礼包,2025-03-01,8.0,0.009632797030405156,0.0007961571681461714,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.009099249374478731,0.009157631359466222,0.009349060725207515,0.009523809523809525,0.009523809523809525,0.009931972789115647,0.010551948051948052,0.011363636363636364,0.011363636363636364
月卡,2024-06-01,30.0,0.18540403021049678,0.07649506495788189,0.06358381502890173,0.06358381502890173,0.11362206375838926,0.12668304668304667,0.14981076534903282,0.15960212201591514,0.1724870657797487,0.18502147006819905,0.19671875,0.21400074156470153,0.2922077922077922,0.4095744680851064,0.4095744680851064
月卡,2024-07-01,31.0,0.17491319243069406,0.0703107306498191,0.046948356807511735,0.046948356807511735,0.1111111111111111,0.1282051282051282,0.1375,0.15384615384615385,0.17105263157894737,0.1739130434782609,0.18235294117647058,0.21019108280254778,0.2651162790697674,0.4206896551724138,0.4206896551724138
