act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250303-20250305-3,超R,直购礼包礼包聚合1,神武锻造-购买档位3,,4,14411.661199999995,23
20250125-20250127-3,中R,直购礼包礼包聚合1,神武锻造-购买档位3,,4,10542.053999999998,17
20250101-20250103-3,小R,直购礼包礼包聚合1,神武锻造-购买档位1,,7,731.9945000000001,22
20250114-20250116-3,非R,直购礼包礼包聚合1,神武锻造-购买档位2,,1,120.0,1
20250506-20250508-3,超R,抽奖渠道,玩家付费,,17,568.0,216
20250311-20250313-3,微R,抽奖渠道,出生获得,,158,11110.0,662
20250311-20250313-3,微R,抽奖渠道,购买,,1,32.0,1
20250114-20250116-3,中R,抽奖渠道,出生获得,,107,10900.0,693
20241223-20241225-3,中R,抽奖每日渠道,购买,2024-12-25,23,1860.0,79
20250211-20250213-3,未活跃,抽奖每日渠道,玩家付费,2025-02-12,37,292.0,116
20250219-20250221-3,未活跃,抽奖每日渠道,玩家付费,2025-02-20,36,262.0,104
20250327-20250329-3,中R,抽奖每日渠道,出生获得,2025-03-29,79,4070.0,286
20250114-20250116-3,中R,抽奖每日渠道,玩家付费,2025-01-15,139,1473.0,595
20241223-20241225-3,超R,抽奖每日渠道,出生获得,2024-12-23,7,510.0,31
20250101-20250103-3,微R,抽奖每日渠道,购买,2025-01-01,1,32.0,1
20250405-20250407-3,超R,抽奖每日渠道,购买,2025-04-06,3,1624.0,29
20250114-20250116-3,超R,直购礼包礼包聚合1,神武锻造-购买档位3,,2,3164.4107999999997,5
20250311-20250313-3,中R,直购礼包礼包聚合1,神武锻造-购买档位1,,18,3241.0586000000008,100
20250311-20250313-3,中R,直购礼包礼包聚合1,神武锻造-购买档位3,,2,1889.6072,3
20250412-20250414-3,小R,直购礼包礼包聚合1,神武锻造-购买档位1,,1,33.8663,1
20250114-20250116-3,超R,直购礼包礼包聚合1,神武锻造-购买档位2,,1,600.0,5
20250319-20250321-3,大R,直购礼包礼包聚合1,神武锻造-购买档位1,,10,1690.1281999999999,52
20241211-20241213-3,非R,直购礼包礼包聚合1,神武锻造-购买档位2,,1,600.0,5
20250319-20250321-3,非R,直购礼包礼包聚合2,非R,,3,257.8663,8
20250319-20250321-3,大R,直购礼包礼包聚合2,大R,,11,5844.8078000000005,74
20241211-20241213-3,超R,直购礼包礼包聚合2,超R,,9,14810.594199999996,101
20250211-20250213-3,未活跃,抽奖渠道,玩家付费,,61,941.0,373
20241223-20241225-3,非R,抽奖渠道,购买,,4,744.0,20
20250311-20250313-3,大R,抽奖渠道,出生获得,,29,3950.0,261
20250327-20250329-3,超R,抽奖渠道,购买,,7,3144.0,88
20250219-20250221-3,未活跃,抽奖渠道,出生获得,,17,1320.0,83
20241128-20241130-3,微R,抽奖渠道,出生获得,,168,14890.0,917
20241211-20241213-3,未活跃,抽奖渠道,出生获得,,32,2600.0,162
20250125-20250127-3,小R,抽奖渠道,出生获得,,113,11710.0,733
20250101-20250103-3,未活跃,抽奖渠道,玩家付费,,105,1763.0,739
20241128-20241130-3,中R,抽奖每日渠道,出生获得,2024-11-29,48,2040.0,131
20241128-20241130-3,中R,抽奖每日渠道,购买,2024-11-29,25,1636.0,95
20250219-20250221-3,小R,抽奖每日渠道,购买,2025-02-19,2,68.0,4
20250219-20250221-3,中R,抽奖每日渠道,玩家付费,2025-02-20,141,1467.0,644
20250219-20250221-3,微R,抽奖每日渠道,购买,2025-02-20,2,36.0,3
20250211-20250213-3,微R,抽奖每日渠道,出生获得,2025-02-11,101,6280.0,366
