act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250416-20250419-4,中R,兑换奖励内容,S28柿崎景家UR,,1,3.0,1
20250502-20250505-4,非R,兑换奖励内容,5阶攻击符文自选箱,,2,2.0,2
20250311-20250314-4,大R,直购礼包礼包聚合1,2025情人节-巧克力礼包1,,14,4421.053100000001,136
20250328-20250331-4,超R,直购礼包礼包聚合1,2025情人节-节日礼包1,,3,97.34528,6
20250328-20250331-4,超R,直购礼包礼包聚合1,2025情人节-节日礼包7,,3,740.1792,6
20250514-20250517-4,中R,直购礼包礼包聚合1,2024情人节史诗礼包19.99-600金币,,17,2095.4927999999995,17
20250514-20250517-4,中R,直购礼包礼包聚合1,2024情人节稀有礼包4.99-320金币(新,,23,765.8608000000003,23
20241127-20241201-5,微R,直购礼包礼包聚合1,2024情人节信物礼包1,,1,304.79670000000004,9
20250311-20250314-4,大R,直购礼包礼包聚合1,2025情人节-节日礼包9,,7,5849.6072,9
20250510-20250513-4,中R,直购礼包礼包聚合1,2025情人节史诗礼包19.99-600金币,,21,2575.4928,21
20250416-20250419-4,微R,直购礼包礼包聚合1,2025情人节-节日礼包3,,1,67.7326,2
20250214-20250218-5,超R,直购礼包礼包聚合1,2025情人节-巧克力礼包2,,8,10850.447999999997,90
20250121-20250124-4,未活跃,直购礼包礼包聚合1,2024情人节信物礼包3,,1,1844.4107999999999,3
20250428-20250501-4,小R,直购礼包礼包聚合1,2024情人节史诗礼包19.99-600金币,,3,375.13439999999997,3
20241127-20241201-5,微R,抽奖每日渠道,引导奖励,2024-11-29,34,675.0,84
20250223-20250226-4,小R,抽奖每日渠道,购买,2025-02-23,1,342.0,6
20250121-20250124-4,超R,抽奖每日渠道,引导奖励,2025-01-22,8,408.0,63
20250223-20250226-4,超R,抽奖每日渠道,购买,2025-02-25,2,320.0,4
20250104-20250107-4,中R,抽奖每日渠道,购买,2025-01-04,15,748.0,76
20250325-20250328-4,小R,抽奖每日渠道,玩家付费,2025-03-27,154,743.0,327
20241127-20241201-5,大R,抽奖每日渠道,引导奖励,2024-11-28,9,227.0,30
20250325-20250328-4,大R,抽奖每日渠道,购买,2025-03-26,15,2398.0,103
20250428-20250501-4,中R,抽奖每日渠道,引导奖励,2025-04-29,93,1460.0,257
20241127-20241201-5,未活跃,抽奖渠道,玩家付费,,180,1764.0,931
20250121-20250124-4,非R,抽奖渠道,引导奖励,,502,14086.0,1773
20250203-20250206-4,超R,pprid_reward_type,160_1,抽奖自选包,12,12.0,12
20250121-20250124-4,大R,pprid_reward_type,164_3,2024信物,6,60.0,6
20250104-20250107-4,微R,pprid_reward_type,164_2,暗·织田信长UR(碎片),1,2.0,1
20250104-20250107-4,非R,pprid_reward_type,164_3,2024信物,2,20.0,2
20241219-20241222-4,大R,pprid_reward_type,164_2,2024信物,8,32.0,8
20241219-20241222-4,非R,pprid_reward_type,164_3,2024信物,1,10.0,1
20241127-20241201-5,中R,兑换信物金币消耗,中R,,94,736000.0,904
20241127-20241201-5,非R,兑换信物金币消耗,非R,,539,2244000.0,2522
20250409-20250411-3,中R,兑换信物金币消耗,中R,,15,21.0,17
20250214-20250218-5,大R,兑换奖励内容,联动-本多忠胜UR(召唤卡),,2,12.0,3
20241127-20241201-5,非R,兑换奖励内容,2024信物,,539,2244000.0,2522
20241127-20241201-5,小R,兑换奖励内容,2024信物,,81,433500.0,499
20250502-20250505-4,微R,兑换奖励内容,5阶攻击符文自选箱,,1,1.0,1
20250223-20250226-4,中R,直购礼包礼包聚合1,2024情人节信物礼包2,,7,3255.1344,27
20250328-20250331-4,小R,直购礼包礼包聚合1,2025情人节-巧克力礼包2,,1,600.0,5
20250416-20250419-4,小R,直购礼包礼包聚合1,2025情人节-巧克力礼包2,,1,250.0896,2
20250325-20250328-4,微R,直购礼包礼包聚合1,2025情人节-节日礼包2,,2,67.7326,2
20250325-20250328-4,超R,直购礼包礼包聚合1,2025情人节-巧克力礼包3,,2,3074.018,5
20250416-20250419-4,小R,直购礼包礼包聚合1,2025情人节-巧克力礼包1,,2,338.66300000000007,10
20250510-20250513-4,小R,直购礼包礼包聚合1,2025情人节-巧克力礼包1,,1,64.0,2
20250214-20250218-5,中R,直购礼包礼包聚合1,2025情人节稀有礼包4.99-300金币,,64,3950.985599999997,64
20250104-20250107-4,微R,直购礼包礼包聚合1,2024情人节史诗礼包19.99-600金币,,1,125.0448,1
20241219-20241222-4,微R,直购礼包礼包聚合1,2024情人节信物礼包2,,1,250.0896,2
20250223-20250226-4,非R,抽奖每日渠道,购买,2025-02-23,1,30.0,5
20241127-20241201-5,中R,抽奖每日渠道,购买,2024-11-30,15,1010.0,72
20241219-20241222-4,非R,抽奖每日渠道,玩家付费,2024-12-19,1311,3268.0,1833
20250514-20250517-4,未活跃,抽奖每日渠道,玩家付费,2025-05-16,13,60.0,22
20250514-20250517-4,小R,抽奖每日渠道,引导奖励,2025-05-16,32,284.0,49
20241219-20241222-4,微R,抽奖每日渠道,购买,2024-12-20,1,112.0,3
20250121-20250124-4,小R,抽奖每日渠道,玩家付费,2025-01-21,149,449.0,272
20241219-20241222-4,微R,抽奖每日渠道,引导奖励,2024-12-22,136,2298.0,338
20250104-20250107-4,小R,抽奖每日渠道,引导奖励,2025-01-04,19,786.0,97
20241127-20241201-5,非R,抽奖每日渠道,引导奖励,2024-11-28,128,2340.0,257
20250428-20250501-4,小R,抽奖每日渠道,购买,2025-04-29,4,106.0,16
20250203-20250206-4,小R,抽奖每日渠道,引导奖励,2025-02-06,73,1325.0,218
20250203-20250206-4,中R,抽奖每日渠道,购买,2025-02-06,22,2066.0,111
20250223-20250226-4,微R,抽奖每日渠道,玩家付费,2025-02-24,265,907.0,560
20250223-20250226-4,小R,抽奖每日渠道,购买,2025-02-24,2,48.0,8
20250214-20250218-5,大R,抽奖渠道,玩家付费,,3,6.0,3
20250514-20250517-4,小R,抽奖渠道,玩家付费,,159,2659.0,1167
20241127-20241201-5,大R,抽奖渠道,购买,,14,3780.0,174
20250325-20250328-4,超R,抽奖渠道,购买,,11,11664.0,261
20250428-20250501-4,非R,pprid_reward_type,160_1,2024信物,536,1072.0,536
20250428-20250501-4,超R,pprid_reward_type,164_3,2024信物,4,32.0,4
20241127-20241201-5,中R,pprid_reward_type,160_2,2024信物,31,62.0,31
20250514-20250517-4,中R,pprid_reward_type,160_3,国宝升星道具,1,4.0,1
20250428-20250501-4,超R,pprid_reward_type,160_2,化境研习橙色道具,1,20.0,1
20250325-20250328-4,小R,pprid_reward_type,164_1,2024信物,13,26.0,13
20250203-20250206-4,小R,pprid_reward_type,164_1,阵石随机包（蓝）,1,1.0,1
20250121-20250124-4,超R,兑换信物金币消耗,超R,,10,108000.0,142
20250328-20250331-4,中R,兑换信物金币消耗,中R,,12,36.0,17
20250104-20250107-4,微R,兑换奖励内容,2024信物,,94,348500.0,396
20250510-20250513-4,非R,兑换奖励内容,S12本愿寺显如SSR+(召唤卡),,4,4.0,4
20250416-20250419-4,微R,兑换奖励内容,S26畠山高政SSR+(召唤卡),,1,1.0,1
20250328-20250331-4,超R,兑换奖励内容,德川UR(召唤卡),,2,12.0,3
