date,pay_tag,is_pay,is_9,is_10,is_80002,dau
2024-09-24,非R,11,47.0,40.0,33.0,1584
2024-07-11,非R,16,48.0,55.0,44.0,1557
2025-04-12,超R,14,10.0,10.0,13.0,17
2024-07-04,小R,27,77.0,99.0,88.0,150
2024-10-29,微R,15,87.0,66.0,52.0,277
2025-03-30,大R,14,22.0,17.0,24.0,33
2024-09-29,小R,31,81.0,88.0,72.0,154
2025-02-17,未活跃,4,4.0,4.0,4.0,70
2024-07-22,小R,44,82.0,98.0,90.0,149
2024-07-26,大R,20,29.0,27.0,28.0,33
2024-09-25,小R,30,79.0,92.0,73.0,155
2025-04-16,微R,6,51.0,41.0,24.0,275
2024-04-12,未活跃,15,48.0,55.0,,485
2024-02-11,未活跃,23,65.0,94.0,,690
2024-11-28,小R,18,80.0,86.0,67.0,158
2024-12-13,非R,9,33.0,24.0,20.0,1564
2024-06-15,未活跃,7,27.0,28.0,24.0,436
2025-03-28,超R,8,10.0,10.0,12.0,17
2024-04-16,微R,20,88.0,118.0,,264
2024-08-15,超R,12,9.0,10.0,12.0,16
2024-08-12,超R,15,9.0,10.0,11.0,17
2023-12-15,超R,8,6.0,9.0,,16
2024-08-25,微R,30,78.0,77.0,67.0,272
2024-11-21,微R,20,86.0,64.0,49.0,274
2024-10-22,超R,7,9.0,10.0,12.0,16
2025-05-08,非R,1,6.0,6.0,2.0,1506
2025-05-08,微R,16,74.0,56.0,23.0,272
2024-03-20,中R,36,88.0,100.0,,139
2024-03-20,大R,17,31.0,29.0,,33
2025-05-19,非R,11,9.0,7.0,4.0,1502
2024-02-26,未活跃,15,60.0,82.0,,658
2024-11-20,非R,9,39.0,29.0,27.0,1586
2025-05-18,未活跃,1,,1.0,1.0,39
2025-05-18,大R,18,24.0,27.0,26.0,33
2024-04-30,大R,29,32.0,29.0,29.0,33
2024-07-16,小R,26,78.0,95.0,87.0,146
2024-11-22,中R,54,86.0,79.0,95.0,145
2025-02-15,非R,6,22.0,14.0,13.0,1631
2024-08-19,非R,17,51.0,51.0,35.0,1556
2024-02-27,小R,47,84.0,117.0,,147
2024-11-13,非R,8,37.0,27.0,23.0,1594
2025-01-16,微R,10,75.0,64.0,40.0,274
2024-08-03,小R,28,79.0,95.0,92.0,149
2024-08-09,未活跃,5,20.0,18.0,25.0,299
2025-02-25,中R,35,87.0,68.0,87.0,147
2024-01-14,微R,20,79.0,139.0,,268
2024-08-07,微R,19,75.0,79.0,71.0,272
2024-07-05,超R,11,9.0,10.0,12.0,16
2025-05-10,大R,20,26.0,29.0,29.0,34
2024-09-17,未活跃,4,16.0,18.0,18.0,248
2024-02-04,未活跃,25,66.0,99.0,,733
2024-02-04,大R,17,28.0,31.0,,33
2025-04-18,大R,21,25.0,23.0,29.0,34
2025-03-12,中R,48,87.0,65.0,82.0,145
2025-02-18,非R,3,22.0,13.0,13.0,1601
2024-12-08,微R,20,72.0,61.0,37.0,274
2024-07-24,超R,12,8.0,9.0,11.0,15
2025-02-07,微R,10,69.0,55.0,40.0,276
2024-03-01,未活跃,22,61.0,81.0,,608
2024-03-01,中R,59,87.0,98.0,,137
2024-05-10,微R,22,80.0,110.0,77.0,267
2024-04-20,小R,35,81.0,112.0,,146
2025-03-31,中R,58,87.0,65.0,73.0,147
2024-11-17,超R,11,9.0,10.0,12.0,17
2024-10-03,超R,7,9.0,10.0,13.0,16
2024-12-04,小R,20,80.0,89.0,66.0,158
2024-03-24,小R,24,85.0,114.0,,147
2024-07-14,中R,52,93.0,93.0,101.0,141
2025-04-12,非R,0,7.0,6.0,5.0,1648
2024-06-30,微R,29,73.0,81.0,87.0,265
2024-06-30,未活跃,6,24.0,34.0,23.0,378
2024-07-01,超R,11,9.0,10.0,11.0,16
2025-03-23,中R,49,87.0,66.0,78.0,148
2025-03-23,未活跃,1,2.0,2.0,2.0,28
2024-09-13,大R,23,31.0,26.0,32.0,34
2025-04-23,超R,7,11.0,11.0,14.0,17
2024-09-29,微R,26,87.0,74.0,64.0,276
2025-01-23,小R,13,72.0,75.0,63.0,155
2024-01-10,微R,29,77.0,142.0,,267
2024-10-24,未活跃,7,13.0,13.0,13.0,207
2025-04-22,中R,41,100.0,93.0,86.0,147
2023-11-25,未活跃,48,,,,992
2024-02-20,非R,20,85.0,114.0,,1585
2024-06-09,超R,12,10.0,10.0,12.0,15
2024-05-19,未活跃,14,38.0,46.0,39.0,450
2024-09-26,超R,9,10.0,11.0,12.0,17
2024-06-25,中R,57,91.0,97.0,106.0,141
2024-12-27,未活跃,3,5.0,6.0,7.0,124
2025-03-09,微R,11,60.0,47.0,34.0,276
2025-05-15,小R,16,88.0,98.0,55.0,157
2024-01-27,未活跃,27,71.0,105.0,,794
2024-01-27,大R,22,27.0,30.0,,33
2024-11-09,非R,13,37.0,28.0,22.0,1630
2024-11-09,小R,35,82.0,85.0,76.0,156
2024-09-05,未活跃,10,19.0,18.0,19.0,254
2024-05-31,微R,22,77.0,89.0,75.0,269
2025-01-03,未活跃,5,6.0,7.0,7.0,148
2025-03-27,未活跃,0,1.0,1.0,1.0,17
2025-02-06,大R,20,25.0,21.0,29.0,34
2024-04-23,小R,35,82.0,111.0,,145
2023-11-06,未活跃,38,,,,948
2024-05-07,大R,23,32.0,29.0,30.0,33
2024-04-14,超R,8,11.0,12.0,,15
2024-06-16,超R,7,9.0,10.0,12.0,15
2024-11-21,超R,10,9.0,10.0,12.0,17
