act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250210-20250212-3,非R,直购礼包礼包聚合1,团购礼包-1200日元,,1,62.5224,1
20250328-20250330-3,中R,直购礼包礼包聚合2,中R,,17,3220.385999999999,38
20241207-20241210-4,大R,直购礼包礼包聚合1,团购礼包-6000日元,,5,3483.0600000000004,11
20250223-20250225-3,超R,直购礼包礼包聚合1,团购礼包-650日元,,7,1686.3955999999998,52
20250104-20250106-3,非R,直购礼包礼包聚合2,非R,,3,576.67264,6
20250330-20250401-3,中R,直购礼包礼包聚合1,团购礼包-2400日元,,11,2320.3584,19
20241207-20241210-4,超R,直购礼包礼包聚合2,超R,,5,7517.31776,54
20241207-20241210-4,大R,直购礼包礼包聚合1,团购礼包-1200日元,,5,2250.8064,36
20241220-20241222-3,微R,直购礼包礼包聚合1,团购礼包-1200日元,,3,187.56719999999999,3
20250328-20250330-3,中R,直购礼包礼包聚合1,团购礼包-650日元,,5,677.3260000000002,20
20250104-20250106-3,非R,直购礼包礼包聚合1,团购礼包-320日元,,1,16.67264,1
20250330-20250401-3,中R,直购礼包礼包聚合1,团购礼包-650日元,,8,2146.9138999999977,64
20250330-20250401-3,中R,直购礼包礼包聚合1,团购礼包-6000日元,,5,2210.4480000000003,7
20241227-20241229-3,非R,直购礼包礼包聚合2,非R,,5,187.19504,6
20250210-20250212-3,微R,直购礼包礼包聚合2,微R,,1,62.5224,1
20250514-20250516-3,非R,直购礼包礼包聚合1,团购礼包-1200日元,,1,62.5224,1
20241220-20241222-3,大R,直购礼包礼包聚合1,团购礼包-2400日元,,6,4150.6272,34
20241127-20241130-4,大R,直购礼包礼包聚合2,大R,,7,10422.508799999989,108
20250412-20250414-3,超R,直购礼包礼包聚合1,团购礼包-650日元,,2,1760.0,55
20250328-20250330-3,中R,直购礼包礼包聚合1,团购礼包-6000日元,,3,1257.836,4
20250223-20250225-3,超R,直购礼包礼包聚合1,团购礼包-6000日元,,3,6697.836,21
20241207-20241210-4,小R,直购礼包礼包聚合2,小R,,3,441.82496000000003,10
20241220-20241222-3,小R,直购礼包礼包聚合2,小R,,5,315.43488,8
20250514-20250516-3,微R,直购礼包礼包聚合1,团购礼包-1200日元,,2,125.0448,2
20241207-20241210-4,小R,直购礼包礼包聚合1,团购礼包-320日元,,2,66.69056,4
20241207-20241210-4,微R,直购礼包礼包聚合1,团购礼包-320日元,,2,49.34528,3
20241227-20241229-3,中R,直购礼包礼包聚合1,团购礼包-320日元,,4,150.05376,9
20250210-20250212-3,大R,直购礼包礼包聚合1,团购礼包-1200日元,,2,375.13439999999997,6
20250412-20250414-3,超R,直购礼包礼包聚合1,团购礼包-2400日元,,7,10860.537599999998,90
20250328-20250330-3,超R,直购礼包礼包聚合1,团购礼包-2400日元,,2,860.1792,7
20241220-20241222-3,大R,直购礼包礼包聚合1,团购礼包-1200日元,,3,1187.9255999999998,19
20250210-20250212-3,小R,直购礼包礼包聚合1,团购礼包-320日元,,2,50.017920000000004,3
20250514-20250516-3,大R,直购礼包礼包聚合1,团购礼包-1200日元,,1,1187.9255999999998,19
20250412-20250414-3,超R,直购礼包礼包聚合1,团购礼包-6000日元,,6,11817.836,37
20241127-20241130-4,中R,直购礼包礼包聚合1,团购礼包-320日元,,1,16.67264,1
20250328-20250330-3,中R,直购礼包礼包聚合1,团购礼包-1200日元,,7,435.13439999999997,7
20241220-20241222-3,超R,直购礼包礼包聚合2,超R,,8,21379.4488,90
20250223-20250225-3,大R,直购礼包礼包聚合2,大R,,15,15798.249699999978,168
20250210-20250212-3,小R,直购礼包礼包聚合2,小R,,3,110.01792,4
20241220-20241222-3,微R,直购礼包礼包聚合2,微R,,3,187.56719999999999,3
20241227-20241229-3,超R,直购礼包礼包聚合1,团购礼包-1200日元,,2,1200.0,20
20241227-20241229-3,非R,直购礼包礼包聚合1,团购礼包-1200日元,,1,122.5224,2
20250328-20250330-3,大R,直购礼包礼包聚合1,团购礼包-2400日元,,5,1720.3584,14
20250514-20250516-3,非R,直购礼包礼包聚合2,非R,,1,62.5224,1
20250514-20250516-3,大R,直购礼包礼包聚合1,团购礼包-650日元,,5,2678.3956000000007,83
20250514-20250516-3,大R,直购礼包礼包聚合1,团购礼包-2400日元,,1,375.13439999999997,3
20250328-20250330-3,超R,直购礼包礼包聚合1,团购礼包-650日元,,1,33.8663,1
20250330-20250401-3,非R,直购礼包礼包聚合1,团购礼包-6000日元,,1,312.612,1
20241207-20241210-4,微R,直购礼包礼包聚合2,微R,,3,174.39008,5
20241207-20241210-4,未活跃,直购礼包礼包聚合2,未活跃,,1,16.0,1
20250104-20250106-3,中R,直购礼包礼包聚合1,团购礼包-2400日元,,2,860.1792,7
20241207-20241210-4,超R,直购礼包礼包聚合1,团购礼包-320日元,,2,226.69056,14
20241220-20241222-3,小R,直购礼包礼包聚合1,团购礼包-320日元,,3,65.34528,4
20250412-20250414-3,小R,直购礼包礼包聚合1,团购礼包-1200日元,,2,125.0448,2
