date,act_tag,role_id,vip_level,level,pay_tag,is_pay,money,web_money,money_rmb,webmoney_rmb,core_add,core_cost,core_end,sincetimes_add,sincetimes_cost,sincetimes_end,act_rmb,bp_rmb,item_cost,item_add,summon_count,summon_21602,summon_21603,item_tag,summon_wau,summon21602_wau,summon21603_wau,actrmb_wau,bprmb_wau,dau,wau
2025-01-21,20250121-20250124-4,14340896307460,4,103,非R,0,,,,,360.0,,25474,,,0.0,,,,,,,,"[1,20)",1.0,1.0,,,,1,1.0
2025-01-22,20250121-20250124-4,14340896307460,4,103,非R,0,,,,,300.0,100.0,25674,,,0.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-23,20250121-20250124-4,14340896307460,4,103,非R,0,,,,,880.0,,26554,,,0.0,,,2.0,2.0,1.0,1.0,,"[1,20)",,,,,,1,
2025-01-24,20250121-20250124-4,14340896307460,4,103,非R,0,,,,,345.0,,26899,,,0.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-10,20250110-20250113-4,14465450212797,12,124,小R,0,,,,,855.0,350.0,8491,,,3.0,,,,,,,,[0],,,,,,1,1.0
2025-01-11,20250110-20250113-4,14465450212797,12,124,小R,0,,,,,1640.0,2825.0,7306,,,3.0,,,,,,,,[0],,,,,,1,
2025-01-12,20250110-20250113-4,14465450212797,12,125,小R,1,6000.00,,312.61200000,,12020.0,375.0,19151,,,3.0,,,,,,,,[0],,,,,,1,
2025-01-13,20250110-20250113-4,14465450212797,12,125,小R,1,5450.00,,283.95590000,,9190.0,225.0,28116,,,3.0,,,,,,,,[0],,,,,,1,
2025-01-10,20250110-20250113-4,14504104995508,11,127,中R,0,,,,,1305.0,4600.0,2574,,,3.0,,,22.0,22.0,11.0,11.0,,"[1,20)",1.0,1.0,,,,1,1.0
2025-01-11,20250110-20250113-4,14504104995508,11,127,中R,0,,,,,2350.0,2421.0,2503,,,3.0,,,4.0,4.0,2.0,2.0,,"[1,20)",,,,,,1,
2025-01-12,20250110-20250113-4,14504104995508,11,127,中R,0,,,,,1605.0,2075.0,2033,,,3.0,,,,,,,,"[1,20)",,,,,,1,
