month,channel,reason,core_cost
2024-04-01,800304,26,4200.0
2024-04-01,800304,107,114900.0
2024-04-01,800304,109,72100.0
2024-04-01,800304,161,2000.0
2024-04-01,800304,79,1851790.0
2024-04-01,800304,216,213250.0
2024-04-01,800304,224,129626.0
2024-04-01,800304,74,39100.0
2024-04-01,800304,221,966000.0
2024-04-01,800304,202,314261.0
2024-04-01,800306,20,3300.0
2024-04-01,800306,216,261350.0
2024-04-01,800306,224,188697.0
2024-04-01,800306,187,925800.0
2024-04-01,800306,154,41490.0
2024-04-01,800306,67,12900.0
2024-04-01,800306,190,179100.0
2024-04-01,800306,63,348300.0
2024-04-01,800306,186,8940.0
2024-04-01,800306,161,2700.0
2024-04-01,800306,44,691950.0
2024-04-01,800306,221,956700.0
2024-04-01,800306,203,50.0
2024-04-01,800306,223,22227.0
2024-04-01,800306,202,390899.0
2024-04-01,800306,107,181800.0
2024-04-01,800306,109,146800.0
2024-04-01,800306,74,17200.0
2024-04-01,800306,272,142600.0
2024-04-01,800306,26,4800.0
2024-04-01,800306,64,26200.0
2024-04-01,800306,22,600.0
2024-04-01,800306,144,248300.0
2024-04-01,800306,122,569420.0
2024-04-01,800306,79,2170250.0
2024-03-01,800301,221,300.0
2024-03-01,800301,186,280.0
2024-03-01,800301,79,21280.0
2024-03-01,800301,109,500.0
2024-03-01,800301,122,3430.0
2024-03-01,800301,190,700.0
2024-03-01,800301,187,800.0
2024-03-01,800301,74,100.0
2024-03-01,800301,216,2500.0
2024-03-01,800301,63,3800.0
2024-03-01,800301,154,880.0
2024-03-01,800301,255,7800.0
2024-03-01,800301,223,6304.0
2024-03-01,800301,20,300.0
2024-03-01,800301,67,300.0
2024-03-01,800301,224,4128.0
2024-03-01,800301,64,200.0
2024-03-01,800301,202,6213.0
2024-03-01,800301,44,5250.0
2024-03-01,800301,144,600.0
2024-03-01,800303,154,1420.0
2024-03-01,800303,44,72700.0
2024-03-01,800303,216,11000.0
2024-03-01,800303,255,13200.0
2024-03-01,800303,122,24200.0
2024-03-01,800303,79,72500.0
2024-03-01,800303,186,680.0
2024-03-01,800303,109,13900.0
2024-03-01,800303,187,19200.0
2024-03-01,800303,221,208800.0
2024-03-01,800303,202,19521.0
2024-03-01,800303,64,800.0
2024-03-01,800303,107,12600.0
2024-03-01,800303,190,5850.0
2024-03-01,800303,67,300.0
2024-03-01,800303,63,17500.0
2024-03-01,800303,224,8490.0
2024-03-01,800303,74,2000.0
2024-03-01,800303,144,5900.0
2024-03-01,800304,63,616900.0
2024-03-01,800304,107,235800.0
2024-03-01,800304,67,16500.0
2024-03-01,800304,255,376100.0
2024-03-01,800304,74,57000.0
2024-03-01,800304,20,3600.0
2024-03-01,800304,216,186000.0
2024-03-01,800304,64,41000.0
2024-03-01,800304,122,612210.0
2024-03-01,800304,223,91781.0
2024-03-01,800304,202,293889.0
2024-03-01,800304,44,765750.0
2024-03-01,800304,109,74800.0
2024-03-01,800304,22,500.0
2024-03-01,800304,187,688000.0
2024-03-01,800304,190,133000.0
2024-03-01,800304,154,71670.0
2024-03-01,800304,144,432200.0
2024-03-01,800304,221,2483400.0
2024-03-01,800304,79,1627250.0
2024-03-01,800304,26,2200.0
2024-03-01,800304,224,144212.0
2024-03-01,800304,186,9220.0
2024-03-01,800304,161,900.0
2024-03-01,800306,26,2400.0
2024-03-01,800306,202,339124.0
2024-03-01,800306,186,7180.0
2024-03-01,800306,255,408200.0
2024-03-01,800306,63,478700.0
2024-03-01,800306,144,325600.0
2024-03-01,800306,187,746000.0
2024-03-01,800306,122,658120.0
2024-03-01,800306,22,100.0
2024-03-01,800306,67,13800.0
2024-03-01,800306,190,132900.0
2024-03-01,800306,109,141900.0
2024-03-01,800306,74,26900.0
2024-03-01,800306,221,2620800.0
2024-03-01,800306,216,194600.0
2024-03-01,800306,223,45898.0
2024-03-01,800306,44,859700.0
2024-03-01,800306,64,23300.0
2024-03-01,800306,107,155700.0
2024-03-01,800306,224,226980.0
2024-03-01,800306,154,48060.0
2024-03-01,800306,79,2003830.0
2024-03-01,800306,20,3600.0
2024-03-01,800306,161,2300.0
2024-02-01,800301,224,600.0
2024-02-01,800301,44,850.0
2024-02-01,800301,122,2790.0
2024-02-01,800301,187,800.0
2024-02-01,800301,154,1850.0
2024-02-01,800301,221,3600.0
2024-02-01,800301,190,1700.0
2024-02-01,800301,223,1300.0
2024-02-01,800301,79,26600.0
2024-02-01,800301,216,2950.0
2024-02-01,800301,144,600.0
2024-02-01,800301,63,4500.0
2024-02-01,800301,186,360.0
2024-02-01,800301,202,3232.0
2024-02-01,800301,109,400.0
2024-02-01,800303,122,11100.0
2024-02-01,800303,63,6500.0
2024-02-01,800303,187,13800.0
2024-02-01,800303,44,42500.0
2024-02-01,800303,223,1560.0
2024-02-01,800303,107,6300.0
2024-02-01,800303,109,14400.0
2024-02-01,800303,190,8150.0
2024-02-01,800303,74,600.0
2024-02-01,800303,22,100.0
2024-02-01,800303,221,34200.0
2024-02-01,800303,67,900.0
2024-02-01,800303,154,1510.0
2024-02-01,800303,79,81320.0
2024-02-01,800303,64,500.0
2024-02-01,800303,186,500.0
2024-02-01,800303,216,8100.0
2024-02-01,800303,224,7252.0
2024-02-01,800303,203,60.0
2024-02-01,800303,202,38474.0
2024-02-01,800304,107,232200.0
2024-02-01,800304,74,30500.0
2024-02-01,800304,44,415000.0
2024-02-01,800304,221,1533900.0
2024-02-01,800304,202,340292.0
2024-02-01,800304,109,81400.0
2024-02-01,800304,22,600.0
2024-02-01,800304,122,512210.0
2024-02-01,800304,203,2960.0
2024-02-01,800304,63,420200.0
2024-02-01,800304,187,850400.0
2024-02-01,800304,161,3200.0
2024-02-01,800304,20,1500.0
2024-02-01,800304,154,93680.0
2024-02-01,800304,144,185200.0
2024-02-01,800304,247,5200.0
2024-02-01,800304,79,1834470.0
2024-02-01,800304,67,13200.0
2024-02-01,800304,190,191150.0
2024-02-01,800304,216,227150.0
2024-02-01,800304,224,151212.0
2024-02-01,800304,64,34500.0
2024-02-01,800304,186,9640.0
2024-02-01,800304,26,4000.0
2024-02-01,800304,223,57941.0
2024-02-01,800306,122,608790.0
2024-02-01,800306,154,73300.0
2024-02-01,800306,221,1377600.0
2024-02-01,800306,187,940000.0
2024-02-01,800306,26,4200.0
2024-02-01,800306,22,500.0
2024-02-01,800306,144,346400.0
2024-02-01,800306,44,475550.0
2024-02-01,800306,202,437994.0
2024-02-01,800306,63,359300.0
2024-02-01,800306,79,2215830.0
2024-02-01,800306,107,123600.0
2024-02-01,800306,74,13400.0
2024-02-01,800306,203,40.0
2024-02-01,800306,109,149800.0
2024-02-01,800306,161,2900.0
2024-02-01,800306,64,21500.0
2024-02-01,800306,186,7740.0
2024-02-01,800306,224,249014.0
2024-02-01,800306,247,12600.0
2024-02-01,800306,67,9300.0
2024-02-01,800306,20,2100.0
2024-02-01,800306,223,45374.0
2024-02-01,800306,216,247150.0
2024-02-01,800306,190,183300.0
2024-01-01,800301,44,1650.0
2024-01-01,800301,216,3300.0
2024-01-01,800301,247,1600.0
2024-01-01,800301,79,36820.0
2024-01-01,800301,74,100.0
2024-01-01,800301,221,18600.0
2024-01-01,800301,64,800.0
2024-01-01,800301,144,600.0
2024-01-01,800301,154,740.0
2024-01-01,800301,186,1120.0
2024-01-01,800301,122,9470.0
